n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
500,1.0,7,500107,0.0011820055970700816,0.17950500000733882,2025-10-08 18:00:22
500,1.0,10,500110,0.0010006369381148654,0.09492533298907802,2025-10-08 18:00:22
500,1.0,11,500111,0.004436861441959707,0.10051666694926098,2025-10-08 18:00:22
500,1.0,8,500108,0.0006297911898150095,0.16757779201725498,2025-10-08 18:00:22
500,1.0,12,500112,0.001351662385803075,0.11857537500327453,2025-10-08 18:00:22
500,1.0,15,500115,0.0007751405982971816,0.07865041599143296,2025-10-08 18:00:22
500,1.0,13,500113,0.0008746385841465168,0.09798504097852856,2025-10-08 18:00:22
500,1.0,16,500116,0.001379473574375112,0.07248899998376146,2025-10-08 18:00:22
500,1.0,14,500114,0.0007083506764778255,0.10796016600215808,2025-10-08 18:00:22
500,1.0,17,500117,0.0008630903122193942,0.08747029199730605,2025-10-08 18:00:22
500,1.0,19,500119,0.001186105966400608,0.07610716600902379,2025-10-08 18:00:22
500,1.0,18,500118,0.0012416060167967106,0.08489979099249467,2025-10-08 18:00:22
1000,0.1,0,1000010,0.025256533076991047,0.6398602919653058,2025-10-08 18:00:29
1000,0.1,1,1000011,0.05524971682231364,0.5066347089596093,2025-10-08 18:00:29
1000,0.1,2,1000012,0.024496908297720502,0.5202143749920651,2025-10-08 18:00:30
1000,0.1,3,1000013,0.017931700765678963,0.4975845830049366,2025-10-08 18:00:30
1000,0.1,4,1000014,0.04630635974458726,0.4078769169864245,2025-10-08 18:00:30
1000,0.1,7,1000017,0.016744766295527284,0.357096082996577,2025-10-08 18:00:30
1000,0.1,5,1000015,0.020611550566480435,0.46591875003650784,2025-10-08 18:00:30
1000,0.1,8,1000018,0.0213931157669091,0.39905124995857477,2025-10-08 18:00:30
1000,0.1,6,1000016,0.019577953776398607,0.5140017919475213,2025-10-08 18:00:30
1000,0.1,11,1000021,0.04635055748613679,0.36389595799846575,2025-10-08 18:00:31
1000,0.1,9,1000019,0.03410104637500498,0.4974817920010537,2025-10-08 18:00:31
1000,0.1,12,1000022,0.031751978736732404,0.4430208749836311,2025-10-08 18:00:31
